0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:05 +0900] "GET /shop/member.html?type=mynewmain HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:09 +0900] "GET /shopping22/admin/categoryManage/categoryManage.jsp HTTP/1.1" 200 27185
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:09 +0900] "GET /shopping22/admin/categoryManage/images/level.gif HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:09 +0900] "GET /shopping22/admin/categoryManage/images/level.gif HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:17 +0900] "GET /shopping22/admin/categoryManage/smallCategoryUp.jsp?lno=2&sno=1&sstep=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:17 +0900] "GET /shopping22/admin/categoryManage/categoryManage.jsp HTTP/1.1" 200 27185
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:17 +0900] "GET /shopping22/admin/categoryManage/images/level.gif HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:17 +0900] "GET /shopping22/admin/categoryManage/images/level.gif HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:18 +0900] "GET /shopping22/admin/categoryManage/smallCategoryDown.jsp?lno=2&sno=1&sstep=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:18 +0900] "GET /shopping22/admin/categoryManage/categoryManage.jsp HTTP/1.1" 200 27185
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:18 +0900] "GET /shopping22/admin/categoryManage/images/level.gif HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:18 +0900] "GET /shopping22/admin/categoryManage/images/level.gif HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:22 +0900] "GET /shopping22/admin/productManage/prodList.jsp HTTP/1.1" 200 4763
0:0:0:0:0:0:0:1 - - [03/Jan/2023:16:40:23 +0900] "GET /shopping22/admin/productManage/prodInsertForm.jsp HTTP/1.1" 200 11084
